Type_H,Type_L,Type_M,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
0,0,1,0.3333333333333286,0.375,0.22293364377182778,0.5342465753424657,0.0,0,0,0,0,0,0
0,1,0,0.3333333333333286,0.375,0.13969732246798605,0.5890410958904109,0.011857707509881422,0,0,0,0,0,0
0,1,0,0.3333333333333286,0.375,0.19208381839348088,0.6301369863013699,0.01976284584980237,0,0,0,0,0,0
0,1,0,0.3333333333333286,0.375,0.15424912689173464,0.49315068493150677,0.02766798418972332,0,0,0,0,0,0
0,1,0,0.3333333333333286,0.375,0.13969732246798605,0.5068493150684932,0.035573122529644265,0,0,0,0,0,0
0,0,1,0.3333333333333286,0.375,0.1495925494761351,0.5205479452054795,0.043478260869565216,0,0,0,0,0,0
0,1,0,0.3333333333333286,0.375,0.2270081490104774,0.5342465753424657,0.05533596837944664,0,0,0,0,0,0
0,1,0,0.3333333333333286,0.375,0.20896391152502913,0.5068493150684932,0.06324110671936758,0,0,0,0,0,0
0,0,1,0.3333333333333286,0.375,0.29045401629802103,0.3424657534246575,0.07114624505928853,0,0,0,0,0,0
0,0,1,0.3333333333333286,0.5,0.33352735739231665,0.3424657534246575,0.08300395256916995,0,0,0,0,0,0
1,0,0,0.3333333333333286,0.375,0.35739231664726423,0.273972602739726,0.09486166007905138,0,0,0,0,0,0
1,0,0,0.3333333333333286,0.5,0.1484284051222352,0.5616438356164384,0.11462450592885375,0,0,0,0,0,0
0,0,1,0.3333333333333286,0.5,0.09953434225844005,0.6575342465753424,0.13438735177865613,0,0,0,0,0,0
0,0,1,0.3333333333333286,0.5,0.3341094295692667,0.3698630136986301,0.14624505928853754,0,0,0,0,0,0
0,1,0,0.3333333333333286,0.5,0.5046565774155997,0.2191780821917808,0.15810276679841895,0,0,0,0,0,0
0,1,0,0.3333333333333286,0.5,0.2176949941792783,0.6164383561643836,0.1660079051383399,0,0,0,0,0,0
0,0,1,0.3333333333333286,0.5,0.08323632130384173,0.5890410958904109,0.17391304347826086,0,0,0,0,0,0
0,0,1,0.3333333333333286,0.5,0.14086146682188594,0.5753424657534247,0.18577075098814227,0,0,0,0,0,0
1,0,0,0.3333333333333286,0.5,0.08032596041909201,0.6986301369863013,0.1976284584980237,0,0,0,0,0,0
0,0,1,0.3333333333333286,0.5,0.270081490104773,0.3972602739726027,0.21739130434782608,0,0,0,0,0,0
1,0,0,0.3333333333333286,0.5,0.12048894062863802,0.5342465753424657,0.2292490118577075,0,0,0,0,0,0
0,1,0,0.3333333333333286,0.5,0.1641443538998837,0.5616438356164384,0.24901185770750986,0,0,0,0,0,0
0,0,1,0.3333333333333286,0.5,0.24039580908032598,0.3698630136986301,0.2569169960474308,0,0,0,0,0,0
0,1,0,0.44444444444444287,0.5,0.3434225844004658,0.3013698630136986,0.26877470355731226,0,0,0,0,0,0
0,0,1,0.44444444444444287,0.5,0.22875436554132722,0.4657534246575343,0.27667984189723316,0,0,0,0,0,0
0,1,0,0.44444444444444287,0.5,0.4033760186263097,0.273972602739726,0.2885375494071146,0,0,0,0,0,0
0,1,0,0.44444444444444287,0.5,0.20023282887077998,0.49315068493150677,0.2964426877470355,0,0,0,0,0,0
1,0,0,0.44444444444444287,0.5,0.3742724097788127,0.2876712328767123,0.3043478260869565,0,0,0,0,0,0
0,1,0,0.44444444444444287,0.5,0.1577415599534343,0.5616438356164384,0.32411067193675885,0,0,0,0,0,0
0,1,0,0.44444444444444287,0.5,0.30558789289871946,0.3698630136986301,0.3320158102766798,0,0,0,0,0,0
0,0,1,0.44444444444444287,0.5,0.09953434225844005,0.6164383561643836,0.33992094861660077,0,0,0,0,0,0
0,1,0,0.44444444444444287,0.5,0.36670547147846333,0.3013698630136986,0.3517786561264822,0,0,0,0,0,0
0,1,0,0.44444444444444287,0.5,0.14610011641443543,0.6164383561643836,0.35968379446640314,0,0,0,0,0,0
0,1,0,0.3333333333333286,0.5,0.28928987194412115,0.3972602739726027,0.3675889328063241,0,0,0,0,0,0
0,0,1,0.3333333333333286,0.5,0.22759022118742733,0.4246575342465753,0.37549407114624506,0,0,0,0,0,0
0,0,1,0.3333333333333286,0.5,0.16530849825378346,0.6164383561643836,0.38735177865612647,0,0,0,0,0,0
0,0,1,0.3333333333333286,0.5,0.24039580908032598,0.4520547945205479,0.3992094861660079,0,0,0,0,0,0
0,1,0,0.3333333333333286,0.5,0.1577415599534343,0.49315068493150677,0.4110671936758893,0,0,0,0,0,0
1,0,0,0.3333333333333286,0.5,0.1228172293364378,0.6438356164383561,0.41897233201581024,0,0,0,0,0,0
0,1,0,0.3333333333333286,0.5,0.10593713620488943,0.6712328767123288,0.4387351778656126,0,0,0,0,0,0
